epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,7939.28,0.87381,0.38524,0.91766,0.97057,0.94022,0.96092,0.69713,0.93641,0.36863,0.89027,0.00093169,0.00093169,0.00093169
71,8056.51,0.87791,0.38703,0.91596,0.97008,0.94413,0.95977,0.69785,0.93134,0.36972,0.8882,0.0009307,0.0009307,0.0009307
72,8167.68,0.8696,0.38378,0.91492,0.97158,0.94177,0.96209,0.70644,0.92471,0.36839,0.88699,0.00092971,0.00092971,0.00092971
73,8289.1,0.87864,0.38376,0.91964,0.96964,0.94238,0.95964,0.69636,0.93237,0.36834,0.88892,0.00092872,0.00092872,0.00092872
74,8406.16,0.87064,0.3835,0.91447,0.96878,0.94332,0.96173,0.70074,0.92044,0.36802,0.88675,0.00092773,0.00092773,0.00092773
75,8513.55,0.86421,0.38224,0.91293,0.9721,0.94687,0.96031,0.70118,0.92405,0.3625,0.88595,0.00092674,0.00092674,0.00092674
76,8628.73,0.87297,0.38309,0.91529,0.97279,0.93944,0.95705,0.69814,0.92517,0.36543,0.888,0.00092575,0.00092575,0.00092575
77,8746.4,0.86186,0.38153,0.91154,0.96814,0.94378,0.95803,0.70099,0.92351,0.36731,0.88819,0.00092476,0.00092476,0.00092476
78,8860.28,0.86441,0.38126,0.91301,0.96986,0.94488,0.96207,0.70132,0.91702,0.36614,0.88731,0.00092377,0.00092377,0.00092377
79,8972.18,0.87413,0.3814,0.91781,0.96931,0.94332,0.96031,0.70171,0.91999,0.36379,0.88748,0.00092278,0.00092278,0.00092278
80,9082.26,0.87382,0.38392,0.91428,0.96776,0.94396,0.95861,0.70246,0.92123,0.36317,0.88544,0.00092179,0.00092179,0.00092179
81,9191.4,0.86529,0.38066,0.91331,0.96891,0.94366,0.95983,0.70389,0.91992,0.36123,0.88662,0.0009208,0.0009208,0.0009208
82,9308.73,0.86608,0.37649,0.91255,0.97169,0.94607,0.96055,0.69697,0.91691,0.36451,0.88827,0.00091981,0.00091981,0.00091981
83,9427.17,0.85266,0.37717,0.91288,0.97554,0.94454,0.96177,0.70609,0.90424,0.35751,0.88441,0.00091882,0.00091882,0.00091882
84,9537.34,0.86852,0.38162,0.91664,0.97002,0.94207,0.96032,0.70288,0.91313,0.36077,0.88688,0.00091783,0.00091783,0.00091783
85,9648.85,0.86659,0.37744,0.91458,0.97058,0.94775,0.96052,0.70381,0.91552,0.35739,0.88788,0.00091684,0.00091684,0.00091684
86,9761.08,0.86692,0.37892,0.91398,0.96643,0.9498,0.9618,0.70611,0.91016,0.3569,0.88664,0.00091585,0.00091585,0.00091585
87,9877.79,0.86439,0.37869,0.91357,0.9753,0.93905,0.96015,0.70421,0.90962,0.35936,0.88791,0.00091486,0.00091486,0.00091486
88,9994.01,0.86606,0.38079,0.91685,0.96969,0.94393,0.95973,0.7029,0.915,0.3607,0.88752,0.00091387,0.00091387,0.00091387
89,10110.3,0.86489,0.37886,0.91271,0.97158,0.94235,0.96005,0.69946,0.91553,0.35946,0.88558,0.00091288,0.00091288,0.00091288
